Record Length,Analog:3500,
Sample Interval,Analog:2.000000E-09,
Vertical Units,CH1:V, CH2:V, CH3:V,,
Vertical Scale,CH1:+2.000000E+00, CH2:+2.000000E+00, CH3:+5.000000E-04,,
Vertical Offset,CH1:+0.000000E+00, CH2:+0.000000E+00, CH3:+0.000000E+00,,
Horizontal Units,us,
Horizontal Scale,+5.000000E-01,
Model Number,T3DSO1204 ,
Serial Number,T0101C21531109,
Software Version,8.3.6.1.37R8,
Source,CH1,CH2,CH3
Second,Value,Value,Value
-7.200000E-07,-1.600000E-01,+0.000000E+00,-2.800000E-04
-7.180000E-07,-1.600000E-01,+0.000000E+00,-2.200000E-04
-7.160000E-07,-1.600000E-01,+0.000000E+00,-2.000000E-04
-7.140000E-07,-1.600000E-01,+0.000000E+00,-2.000000E-04
-7.120000E-07,-1.600000E-01,+0.000000E+00,-2.200000E-04
-7.100000E-07,-1.600000E-01,+0.000000E+00,-2.600000E-04
-7.080000E-07,-1.600000E-01,+0.000000E+00,-3.000000E-04
-7.060000E-07,-1.600000E-01,+0.000000E+00,-3.000000E-04
-7.040000E-07,-1.600000E-01,+0.000000E+00,-2.400000E-04
-7.020000E-07,-1.600000E-01,+0.000000E+00,-2.400000E-04
-7.000000E-07,-1.600000E-01,+0.000000E+00,-2.800000E-04
-6.980000E-07,-1.600000E-01,+0.000000E+00,-2.400000E-04
-6.960000E-07,-1.600000E-01,+0.000000E+00,-2.600000E-04
-6.940000E-07,-1.600000E-01,+0.000000E+00,-2.400000E-04
-6.920000E-07,-1.600000E-01,+0.000000E+00,-2.200000E-04
-6.900000E-07,-1.600000E-01,+0.000000E+00,-2.600000E-04
-6.880000E-07,-1.600000E-01,+0.000000E+00,-2.800000E-04
-6.860000E-07,-1.600000E-01,+0.000000E+00,-2.400000E-04
-6.840000E-07,-1.600000E-01,+0.000000E+00,-2.800000E-04
-6.820000E-07,-1.600000E-01,+0.000000E+00,-2.600000E-04
-6.800000E-07,-1.600000E-01,+0.000000E+00,-2.600000E-04
-6.780000E-07,-1.600000E-01,+0.000000E+00,-2.400000E-04
-6.760000E-07,-1.600000E-01,+0.000000E+00,-2.400000E-04
-6.740000E-07,-1.600000E-01,+0.000000E+00,-2.800000E-04
